36443,Dida,285,1
36522,Alex,294,4
36540,Juan,285,3
36612,Zé Roberto,284,4
36728,Índio,285,3
36775,Marcos Assunção,316,4
36790,Josué,282,4
36792,Araújo,290,5
36802,Ronaldinho Gaúcho,282,4
36856,Celso Roth,294,6
36934,Muricy Ramalho,276,6
36940,Oswaldo De Oliveira,277,6
36943,Paulo Autuori,282,6
37245,Guto Ferreira,316,6
37246,Ney Franco,287,6
37281,Mano Menezes,264,6
37306,Gilson Kleina,265,6
37592,Toninho Cecílio,288,6
37607,Michel Bastos,276,2
37610,Ivan,316,2
37613,Dagoberto,283,5
37621,Junior Cesar,263,2
37627,Diguinho,266,4
37645,Marcelo Mattos,263,4
37652,Carlos Alberto,263,4
37653,Nilmar,285,5
37654,Rosinei,294,4
37655,Rafael Moura,285,5
37656,Fábio,283,1
37657,Edu Dracena,277,3
37659,Lauro,315,1
37663,Julio Cesar,263,2
37673,Alecsandro,262,5
37674,Wagner,266,4
37678,Rodrigo Souto,263,4
37684,Chicão,262,3
37688,Cícero,266,4
37694,Henrique,283,4
37701,Léo Moura,262,2
37705,Juan,287,2
37718,Arouca,277,4
37749,Harlei,290,1
37762,Souza,288,5
37767,Galatto,288,1
37770,Marcelo Grohe,284,1
37783,Ramon,290,4
37789,Bolívar,263,3
37790,Ceará,283,2
37792,Edinho,284,4
37794,Tinga,283,4
37795,Jorge Wagner,263,4
37798,Rafael Sobis,266,5
37816,Marco Antônio,316,4
37818,Hugo,287,4
37826,Paulo Baier,288,4
37840,Gustavo,293,3
37848,Leonardo,292,5
37851,Maicosuel,282,4
37899,Renan,290,1
37917,Elano,262,4
37919,Luis Fabiano,276,5
37941,Borges,283,5
37958,Felipe,262,1
37983,Ricardo Conceição,315,4
37984,Aranha,277,1
38021,Wendel,292,4
38026,Kleber,316,2
38032,Cleber Santana,288,4
38038,Luiz,288,1
38055,Rogério Ceni,276,1
38061,Edcarlos,282,3
38064,Denilson,276,4
38067,Danilo,264,4
38069,Richarlyson,287,2
38074,Ygor,285,4
38100,Durval,292,3
38108,Jorge Henrique,285,5
38109,Jefferson,263,1
38133,Julio Cesar,264,1
38138,Jô,282,5
38140,Fernando Prass,275,1
38162,Fred,266,5
38184,André Santos,262,2
38194,Antônio Carlos,276,3
38196,Maicon,276,4
38219,Alex,285,4
38229,Fábio Santos,264,2
38231,Diego Tardelli,282,5
38243,Léo,277,4
38246,Robinho,277,5
38279,Wellington Paulista,285,5
38311,Márcio Araújo,262,4
38315,Jadson,264,4
38357,Martinez,288,4
38362,Rodrigo Silva,288,5
38365,Henrique,266,3
38369,Ibson,292,4
38370,André Bahia,263,3
38374,Alessandro,265,5
38394,Thiago Heleno,316,3
38398,Renato Augusto,264,4
38425,Fábio Ferreira,288,3
38431,Diego Cavalieri,266,1
38432,Wendel,275,2
38435,Valdivia,275,4
38440,Pierre,282,4
38451,Carlinhos,266,2
38482,Marcos Aurélio,265,5
38507,Rafael Miranda,265,4
38515,Marquinhos,316,3
38523,Edílson,263,2
38525,Cléo,293,5
38573,Nilton,283,4
38579,Rodrigo Mancha,292,4
38588,Elton,262,5
38602,Edno,287,5
38613,Zé Carlos,288,5
38630,Rivaldo,316,4
38638,Germano,294,4
38695,David,290,4
38763,Marcinho,287,4
38908,Renato,277,4
38919,Kaká,276,4
38921,Júlio Baptista,283,4
38960,Zé Eduardo,294,5
38986,Aílton,292,4
38990,Alcides,288,3
39137,Adaílton,265,3
39230,Neto Coruja,287,4
39572,Renato,266,2
39850,Vagner Mancini,263,6
40006,Abel Braga,285,6
40025,Levir Culpi,282,6
40130,Silvio,315,1
40179,Kleber,284,5
40904,Julio Cesar,294,5
40990,Dorival Júnior,275,6
41126,Rodrigo Gral,315,5
41218,Magrão,292,1
41327,Vanderlei Luxemburgo,262,6
41357,Adriano,293,5
41364,Lincoln,265,4
41519,Lúcio,275,3
41946,Caio Júnior,288,6
42116,Willian,283,5
42118,Neto Baiano,292,5
42145,Egídio,283,2
42222,Osvaldo,276,5
42232,Amaral,290,4
42234,Cássio,264,1
42247,Danny Morais,315,3
42330,Felipe Garcia,266,1
42490,Jajá,294,4
42499,Bruno,266,2
42500,Fagner,264,2
42501,Rhodolfo,284,3
42540,Bileu,292,4
43618,Luiz Felipe Scolari,284,6
44857,Naldinho,292,4
49641,Adriano,287,4
49651,Ernando,285,3
49673,Júlio César,266,1
49674,Fabrício,285,2
49675,Alexandre Pato,276,5
50284,Wilson,287,1
50292,Paulinho Dias,293,4
50294,Guilherme,282,5
50295,Felipe Menezes,275,4
50301,Everton,262,4
50317,David Braz,277,3
50321,Vitor Júnior,316,4
50324,Hudson,276,4
50326,Éverton Santos,316,5
50328,Marcelo Oliveira,275,4
50329,Lulinha,288,4
50346,Guilherme Santos,265,2
50347,Alan Kardec,276,5
50348,Conca,266,4
50353,Titi,265,3
50358,Marcelo Moreno,283,5
50361,Rafael Lima,315,3
50362,Lucas,263,2
50366,Jean Carlos,316,5
50369,Carlos Eduardo,262,4
50382,Charles,283,4
50413,Anderson Aquino,294,5
50417,Valencia,266,4
50418,Dinei,287,5
50421,Wesley,275,4
50425,Roger Gaúcho,288,4
50427,Kadu,287,3
50439,Vilson,283,3
50446,Chico,294,3
50453,Anderson Pico,262,2
50454,Serginho,288,4
50459,Léo,283,3
50461,Edson,290,1
50462,Leandro Almeida,294,3
50532,Maxi Biancucchi,265,5
50645,Eduardo,288,2
50666,Diogo,275,5
50880,Keirrison,294,5
50908,Wellington Bruno,288,4
50909,Bruno Mineiro,290,5
50961,Léo Gago,265,4
51168,André Paulino,315,3
51175,Denis,276,1
51193,Fabinho Alves,315,5
51194,Rafael Pereira,288,3
51293,Wanderson,315,4
51299,Emerson,282,3
51318,Leandro Donizete,282,4
51413,Walter,264,1
51415,Roger Carvalho,287,3
51495,Tiago Alves,275,3
51548,Giuliano,284,4
51681,Hélder,294,4
51683,Bruno Rangel,315,5
51705,Bruno Rodrigo,283,3
51772,Éverton Ribeiro,283,4
51779,Pedro Botelho,282,2
51781,Ávine,265,2
51985,Anderson Pedra,292,4
52190,Ralf,264,4
52253,Réver,282,3
52558,Bruno César,275,4
52618,Anderson Martins,264,3
52897,Nivaldo,315,1
52950,Victor,282,1
53472,Fahel,265,4
54189,Tiago Saletti,315,3
54250,Maylson,288,4
54395,Elias,264,4
54424,Willians,285,4
55348,Luis Ricardo,276,2
56102,João Paulo,293,4
60752,Cristóvão Borges,266,6
60780,Vinícius Eutrópio,316,6
60784,Rafael Carioca,282,4
60788,Marquinhos,283,5
60791,Derley,293,4
60795,Renan,263,1
60803,Souza,276,4
60819,Dedé,283,3
60822,Renan Oliveira,292,4
60825,Felipe Azevedo,292,5
60834,Luan,283,5
60852,Uendel,264,2
60858,Moacir,294,2
60948,Diones,315,4
60969,Patric,292,2
61033,Rodriguinho,284,4
61106,Cicinho,277,2
61115,Jobson,263,5
61135,Ananias,292,5
61149,Lucca,288,5
61211,Carlos Cesar,293,2
61985,Airton,263,4
62003,Bruno,275,1
62009,Camilo,315,4
62012,Ciro,316,5
62023,D'Alessandro,285,4
62047,Jean,266,4
62070,Marcelo Cordeiro,292,2
62086,Pará,284,2
62101,Renan Rocha,293,1
62104,Robinho,294,4
62119,Tiago Luis,315,5
62121,Vanderlei,294,1
62127,Wallyson,263,5
62128,Walter,266,5
62129,Wellington,285,4
62130,William Matheus,275,2
62136,Marcelo Oliveira,283,6
62137,Enderson Moreira,277,6
62139,Ricardo Drubscky,290,6
62971,Nirley,316,3
62974,Werley,284,3
62976,Everton Silva,315,2
62977,Paulo Henrique Ganso,276,4
63003,Uelliton,265,4
63005,Welinton,294,3
63008,Rafael Toloi,276,3
63013,Marcos Rocha,282,2
63014,Gil,294,4
63018,Guilherme Andrade,264,2
63031,Valmir Lucas,290,3
63034,Douglas,287,1
63058,Willian Farias,283,4
63082,Rodolfo,293,1
63110,Alan Ruschel,285,2
63119,Juninho,275,2
63172,Paulão,285,3
63194,Carlinhos,294,2
63208,Zezinho,315,4
63219,Luan,282,5
63283,Esquerdinha,290,2
63326,Rychely ,315,5
67953,Riveros,284,4
68685,Alan Patrick,285,4
68689,Anderson Uchoa,288,4
68690,André,282,5
68696,Bergson,315,5
68697,Bernardo,275,4
68698,Bruno Silva,315,4
68702,Bruno Collaço,315,2
68711,Chiquinho,266,4
68723,Demerson,265,3
68728,Douglas,276,2
68738,Eli Sabiá,288,3
68744,Emerson,263,5
68746,Sergio Escudero,288,3
68753,Fabrício ,266,3
68758,Fernandinho,284,5
68773,Henrique,265,5
68805,Neneca,316,1
68807,Neto Berola,282,5
68808,Nino Paraíba,287,2
68817,Paulo Miranda,276,3
68821,Rafael Galhardo,265,2
68824,Raphael Augusto,266,4
68827,Renato Chaves,293,3
68830,Ricardinho,288,4
68833,Ricardo Goulart,283,4
68834,Rithely,292,4
68846,Thiago Humberto,288,4
68872,Marcelo Lomba,265,1
68873,Paulo Victor,262,1
68883,Caio,287,5
68884,Klever,266,1
68887,Gum,266,3
68888,Leandro Euzébio,266,3
68892,Everton,288,4
68893,André Lima,294,5
68894,Bruno Veiga,266,5
68904,Vítor,292,2
68907,Wellington,275,3
68908,Gualberto,288,3
68909,Souza,277,4
68911,Diego Souza,292,4
68914,Deola,275,1
68917,Vinícius,287,5
68920,Dudu,284,5
68922,Fabrício,276,4
68923,Gil,264,3
68925,Leonardo Silva,282,3
68928,Rafael,283,1
68929,Thiago Ribeiro,277,5
68930,Kieza,265,5
68932,Renan Ribeiro,276,1
68938,Giovanni Augusto,316,4
68945,Saimon,284,3
68946,Neuton,315,3
68950,Ronaldo Alves,288,3
68951,Josimar,275,4
68953,Leandro Damião,277,5
68954,Marquinhos Gabriel,275,4
68958,Wallace,262,3
68968,Adailton,287,5
68974,Marcão,316,5
68979,Giovanni,282,1
68987,João Vitor,288,4
68994,Wesley,316,4
68995,Régis Souza,263,2
69006,Dão,287,3
69008,Neto,277,3
69012,Santos,293,1
69014,Manoel,283,3
69018,Deivid,293,4
69022,Marcelo,293,5
69040,Vladimir,277,1
69041,Muriel,285,1
69047,Paulo Roberto,316,4
69048,Mazola,316,5
69049,Leandro Amaro,315,3
69051,Danilo Fernandes,264,1
69088,Victorino,275,3
69090,Matías Rodríguez,284,2
69138,Pablo,316,5
69141,Ricardo Bueno,316,5
69153,Clemente Rodríguez,276,2
69155,Iberbia,294,2
69177,Léo,262,2
69180,Busatto,284,1
69183,Lee,282,1
69186,Branquinho,265,4
69209,Diego Macedo,265,2
69219,Otamendi,282,3
69232,Bolatti,263,4
69240,Dátolo,282,4
69268,Víctor Cáceres,262,4
69292,Eguren,275,4
69304,Lodeiro,264,4
69308,Álvaro Pereira,276,2
69325,Aránguiz,285,4
69329,Cereceda,316,2
69703,Diego Maurício,292,5
69782,Dener Assunção,294,2
70010,Spessato,284,2
70045,Vinicius Simon,277,3
70046,Victor Ferraz,277,2
70054,Marcos Paulo,294,4
70055,Geraldo,294,5
70058,Tiago Real,290,4
70106,Mouche,275,5
70111,Guilherme Mattis,266,3
70116,Fellipe Bastos,284,4
70132,Alan Santos,277,4
70133,Paulo Henrique,275,2
70216,Gustavo,287,1
70218,Ernesto Farías,283,5
70221,Bruno Uvini,277,3
70225,Luís Aguiar,287,4
70311,Fran Mérida,293,4
70317,Eron,282,2
70360,Eduardo Sasha,285,5
70581,Fillipe Soutto,282,4
70759,Martinuccio,294,5
70874,Rhayner,265,5
70914,Raphael Luz,290,4
70915,Luis Felipe,288,2
70916,Diogo Goiano,294,2
70924,Matheus Carvalho,266,5
70925,Wescley,315,4
70928,William Henrique,287,5
70929,Negueba,262,5
70934,Jackson,290,3
70944,Bruno Henrique,264,4
70951,Fabio,275,1
70986,Léo Cittadini,277,4
70992,Juliano,290,4
71032,Lucas Zen,287,4
71037,Clayton Sales,290,2
71038,Pedro Henrique,290,3
71039,Leandro,290,4
71041,Assuério,290,5
71042,Augusto,292,4
71055,Pato Rodríguez,277,4
71093,Baraka,294,4
71100,Márcio Araújo,265,6
71102,Omar,265,1
71113,Felipe ,316,4
71117,Vander,287,4
71122,Matheus,263,3
71123,Thiago Mendes,290,4
71146,Léo Veloso,290,2
71507,Edson Silva,276,3
71560,Luis Ramírez,263,4
71571,Fernando,287,1
71572,Gabriel,284,3
71575,Danilo Tarracha,287,2
71581,Léo Costa,287,4
71593,Henrique Mattos,292,3
71602,João Paulo,262,2
71618,Anderson Conceição,265,3
71631,Weverton,293,1
71636,Guilherme,264,4
71668,Anderson Carvalho,277,4
71724,Agenor,285,1
71742,Hiroshi,316,4
71778,Bady,293,4
71799,Silvinho,288,5
71892,Wellington Silva,285,2
71947,Guilherme,263,2
71995,Hugo,265,5
72018,Tiago Volpi,316,1
72023,Sueliton,293,2
72039,Ferron,292,3
72046,Rômulo,287,5
72071,Amaral,262,4
72079,Bruno Cortez,288,2
72084,França,316,4
72097,Giovanni,288,2
72099,Wiliam Barbio,265,5
72133,Ednei,287,3
72159,Serginho,275,4
72167,Mazinho,275,4
72168,João Paulo,290,4
72281,Artur,316,2
72290,Jailson,275,1
72334,Ayrton,287,2
72375,Weldinho,275,2
72376,Cléber,264,3
72386,Hernane,262,5
72389,Mike,292,5
72488,Follmann ,284,1
72491,Bressan,284,3
72495,Moisés,290,2
72504,Denilson,316,5
72603,William Menezes,294,1
72742,Wagner Lopes,288,6
72745,Escudero,287,4
72768,Muralha,262,4
72893,Eduardo Da Silva,262,5
72943,Luís Cáceres,287,4
73009,Crislan,293,5
73025,Geovane,277,5
73027,Potita,265,5
73051,Robert Flores,292,4
73055,Bruno Fornaroli,316,5
73085,Leandro,275,5
73213,Miguel,275,5
73315,Jorginho,315,6
73317,Argel Fucks,316,6
73336,Rafael Martins,294,1
73338,Djair,294,4
73353,Eduardo,266,4
73359,Roniery,265,2
73375,Felipe,264,3
73383,Rafael Costa,288,4
73417,Lima,290,2
73423,Rodrigo Defendi,287,3
73445,Denner,294,4
73446,Éderson,293,5
73454,Cidinho,263,4
