36443,Dida,285,1
73465,Luccas Claro,294,3
73481,Gilmar Dal Pozzo,288,6
73511,Dudu Figueiredo,294,4
73515,Gabriel,262,4
73516,Rafael,265,5
73517,Douglas Pires,265,1
73527,Willian Rocha,293,2
73530,Wilson Pittoni,265,4
73531,Washington,275,4
73540,Rogério,263,5
73563,Lúcio Maranhão,316,5
73617,Emerson,277,2
73620,Bruno Alves,316,3
73633,Júnior Timbó,315,4
73634,Felipe Lima,287,4
73635,Rildo,277,5
73644,Ivan,294,2
73673,Cañete,276,4
73684,Mirabaje,293,4
73708,Samudio,283,2
73760,Wallinson,290,3
73771,Mineiro,287,4
73800,Rodrigo Caio,276,3
73806,Samuel ,290,5
73851,Ronny,263,4
73855,Jubal,277,3
73857,Jackson,294,2
73863,Claudinei,282,4
73869,Lennon,263,2
73879,Rogério,288,2
73890,Mário Sérgio,290,2
73896,Geuvânio,277,5
73910,Tobio,275,3
73918,Canteros,262,4
73948,Ricardo Gareca,275,6
73957,Ewerton Páscoa ,292,4
73962,Bruno Peres,277,2
73974,Alison,277,4
74014,Alemão,287,3
74017,Josa,287,4
74059,Elivelton,266,3
74060,Luiz Antonio ,262,4
74061,Roberto Fernández,287,1
74065,Zeballos,263,5
74074,Claudio Winck,285,2
74076,Misael,294,4
74077,Maycon Canário,293,4
74078,Hernani,293,4
74085,Ademilson,276,5
74086,Pedro Paulo ,293,5
74087,Léo Bonatini,290,5
74096,Saulo,292,1
74103,Frauches ,262,3
74140,Elber,294,4
75295,Paolo Guerrero,264,5
77529,Leandro Silva,316,2
77556,Bruno,288,1
77567,Zé Mário,292,4
77579,Dellatorre,293,5
77599,Romário,287,2
77670,Gladestony,285,4
77673,Patrick Vieira,275,4
77738,Romarinho,264,5
77777,João Schmidt ,276,4
77809,William Pottker,316,5
77827,Bruno Oliveira,275,2
77895,Emerson Conceição,282,2
77911,Jean Deretti,284,4
77912,Neto,316,1
77967,Mena,277,2
77994,Mendieta,275,4
78012,Yuri Mamute,263,5
78077,Madson,265,2
78086,César,262,1
78117,Everaldo,316,5
78176,Harrison,293,4
78235,Leandrinho,277,4
78236,Danilo,290,5
78241,Pabón,276,5
78248,Gustavo Henrique,277,3
78379,Barcos,284,5
78407,Douglas Grolli,315,3
78414,Rafael Donato,288,3
78422,Oswaldo,292,3
78423,Timbó,294,2
78436,Renan Lemos,263,2
78445,Renê,292,2
78458,João Afonso,285,4
78464,Fábio Braga,266,4
78478,Willian Arão,264,4
78500,Sérgio Manoel,294,4
78530,Matheus Bertotto,285,4
78546,Bruninho,275,4
78558,Romulo Cabral,293,5
78578,Paulinho,262,5
78604,Andrey,263,1
78605,Gabriel,263,4
78646,Fernando Fernandes,262,3
78647,Digão,262,2
78648,Dráusio,293,3
78694,Guillermo Beltrán,287,5
78715,Ramiro,284,4
78716,Nem,316,4
78756,Alemão,315,5
78839,Gabriel Gasparotto,277,1
78840,Pedro Castro,277,4
78850,Reinaldo,276,2
78891,Petros,264,4
78895,Marcelo,262,3
78936,Rodrigo Souza,288,4
78946,Dória,263,3
78965,Roni,294,4
78967,Dudu,316,5
78968,Leandro,315,5
78977,Bruno Mendes,293,5
78990,Lucas Alves,293,3
78994,Eduardo,282,4
79019,Jayme De Almeida,262,6
79022,Yguinho,263,5
79023,Mattheus,262,4
79030,Fabinho Gaúcho,315,2
79038,Murilo,263,5
79042,Tiago ,282,3
79044,Wangler,265,4
79045,Wellington Carvalho,266,3
79048,Elisson,283,1
79064,Guilherme Biteco,284,4
79066,Alex ,316,1
79193,Abuda,315,4
79228,Bruno Furlan,293,5
79265,Renan,265,1
79287,Enrique Meza,315,3
79334,Ricardo Silva,293,3
79335,Éverton,293,4
79339,Dankler,263,3
79343,Doriva,293,6
79345,Danilo Alves,288,5
79401,Paulo Otávio,294,2
79535,Vaná,294,1
79553,Mansur,287,2
79578,Sassá,263,5
79594,Ednei,315,2
79701,Lucas Silva,283,4
79713,Carlos Alberto,293,4
79733,Leilson ,287,4
79826,Douglas Santos,282,2
79887,Fabiano,315,2
79892,Nenén,315,4
79947,Marion,282,5
79973,Helton Leite,263,1
80036,Alex Alves,290,3
80076,Zé Roberto,265,5
80163,Railan,265,2
80164,Jussandro,315,2
80171,Dedé,315,4
80188,Marcos Junior,287,5
80189,Lucas Fonseca,265,3
80192,Hugo Gumiero,293,1
80280,Taiberson,293,5
80281,Cleberson,293,3
80286,Matheus Vidotto,264,1
80287,Luciano,264,5
80313,Gilberto ,285,2
80318,Ezequiel,288,2
80319,Raul,316,3
80320,Diego Oliveira,288,4
80321,Neílson,315,5
80324,Jaílton,315,3
80330,Jocinei,264,4
80337,Arthur ,262,5
80370,Edson,266,4
80374,Norberto ,294,4
80381,Cesinha,282,5
80399,Higor,288,4
80400,Rafinha,266,4
80403,Maurides,285,5
80431,Maicon Silva,288,2
80441,Bonfim ,294,3
80456,Diego Felipe,265,4
80536,Victor Andrade,277,5
80537,Michael,288,5
80538,Marlon,266,4
80552,Marquinhos Pedroso,316,2
80553,Guilherme Lazaroni,316,2
80568,Willie,287,5
80570,Wendell,284,2
80572,Alex Santos,294,5
80573,Luiz Gustavo,287,3
80576,Renato,275,4
80583,Lucas Lima,277,4
80585,Otávio,285,4
80660,Lucas Farias,276,2
80664,Michel,282,2
80667,Fernando,266,2
80769,Fernando Karanga,288,5
80774,Alan Pinheiro,287,5
80777,Wellington,287,5
80779,Joílson,288,3
80795,Dieguinho,315,4
80853,Pedro Geromel,284,3
80913,Nixon,262,5
80944,Marlone,283,4
80949,Biro Biro,266,5
81007,Dedé,263,4
81031,Marquinhos Santos,294,6
81091,Jair,285,4
81121,Mugni,262,4
81148,Ronaldo Mendes,288,4
81150,Mayke,283,2
81151,Sandrinho,292,5
81223,Erazo,262,3
81236,Ferreyra,263,5
81543,Josué,287,3
81770,Clayton,316,5
81845,Alisson,283,4
81905,Henrique,275,5
81914,Léo Lisboa,316,4
81950,Jefferson,316,4
81952,Willian,292,4
82128,Ferrugem,264,4
82381,Juninho,293,4
82408,Bruninho,292,5
82419,Luan Sérgio,316,1
82453,Tadeu,294,1
82455,Zé Rafael ,294,4
82457,Jean Felipe,293,2
82458,Erwin,293,3
82459,Rafael Zuchi,293,3
82463,Otávio ,293,4
82466,Bruno Pelissari,293,4
82468,Willyan Sotto,293,4
82469,Douglas Coutinho ,293,5
82472,Fabiano,263,4
82474,Gegê,263,4
82502,Rafinha,265,5
82503,Rodolfo,262,4
82525,Rodrigo Biro,315,2
82547,Sérgio Raphael,265,3
82613,Alan,285,3
82625,Maurinho,288,5
82626,Thales ,285,3
82628,Tinga,284,2
82630,Calyson,294,4
82632,Lucas Coelho,284,5
82635,Igor,292,2
82639,Marcelo Hermes,284,4
82641,Ronan,266,2
82647,Régis,292,4
82657,Miguel Ángel Portuga,293,6
82703,Matheus Biteco,284,4
82737,Welinton Junior,290,5
82768,Danilo,315,1
82769,Alan,283,1
82787,Joel,294,5
82821,Gabriel Soares,287,4
82884,Matheus Gonzaga,316,4
82896,Alisson Becker,285,1
82928,Edson,288,1
83048,Rafael Thyere,284,3
83108,Heitor,288,3
83130,Erik ,275,5
83134,Igor Sartori,262,5
83255,Giva,277,5
83257,Gabriel,277,5
83258,Filipe Ramon,294,2
83266,Marcos Guilherme ,293,4
83439,Maykon,294,5
83471,Paulinho,264,5
83506,Vítor Michels,288,4
83511,Érico Júnior,292,5
83522,Fagner Alemão,315,3
83528,Léo Pereira,293,3
83614,Bruno Lopes,288,5
83615,Thiago Martins,275,3
83688,Luan,316,4
83772,Neilton,283,5
83811,William Cordeiro,316,2
83872,Erick,265,5
83920,Wellington Neto,316,3
83963,Leandro Canhoto,284,4
84098,Gustavo,293,5
84099,Anderson Talisca,265,4
84104,Luizinho,294,4
84188,Welton,292,4
84190,Guilherme,293,5
84262,Wallace,283,3
84263,Jemerson,282,3
84312,Anderson Mello,265,4
84313,Feijão,265,4
84314,Ítalo Melo,265,4
84318,Samir ,262,3
84320,Recife,262,4
84379,Raul,265,2
84382,Danilo,292,2
84530,Maxi Rodríguez,284,4
84545,Romulo,288,2
84554,Lucão,276,3
84585,Allione,275,4
84674,Lucas Evangelista,276,4
84679,Emanuel Biancucchi,265,4
84707,Jonatan Lucca,293,4
84761,Claudinei Oliveira,293,6
84791,Kenedy,266,5
84794,Matteus ,293,4
84848,Erik,290,5
84851,Lucas Cândido,282,4
84857,Rafael Tavares,290,4
84860,Abner,294,2
84861,Alex Silva,282,2
84863,Alberto Valentim,275,6
84887,Dener,316,4
84890,Euller ,287,2
84896,Lucas Otávio,277,4
84918,Rafael Ratão,277,5
84927,Dodô,282,4
84997,Paulo,290,4
85004,Marcos Felipe ,266,1
85027,Carlos,282,5
85066,Guillermo ,287,1
85067,Matheus Salustiano,287,3
85083,Vinícius Silvestre,275,1
85121,Robert ,266,4
85149,Ronaldo,292,4
85210,Jonatan Ponciano,316,5
85399,Felipe Macedo,290,3
85400,Marcelo,287,4
85403,Daniel,282,4
85418,Uilson,282,1
85423,Valdivia,285,4
85424,Ailton,266,2
85425,João Paulo,277,1
85607,Léo Ceará,287,5
85629,Daniel,263,4
85798,João Paulo Kuspiosz,262,1
85882,Diogo,285,2
85930,Aylon,285,5
85931,Hyoran,315,4
86143,Wanderson,264,3
86144,Luizinho Mello,288,4
86189,Mosquito,293,5
86222,Rodolfo,275,5
86229,Eduardo Hungaro,263,6
86264,Natanael,293,2
86314,Alex Santos,263,2
86315,Anderson Santos,263,2
86334,Roni,315,5
86409,Lucas Olaza,293,2
86410,Victor Luis,275,2
86411,Breno,283,2
86419,Jonathan,316,5
86436,Alan Ruiz,284,4
86444,Pablo Dyego,266,2
86449,Samuel,294,1
86491,Jonatha Fumaça,294,5
86502,Jonathan Ferrari,287,3
86512,Bruno Gomes,285,5
86517,Flavio,292,1
86519,Everton Felipe,292,4
86587,Igor Leandro,294,3
86588,Ícaro,294,4
86744,Canavesio,284,3
86748,Breno,284,2
86754,Guilherme Amorim,284,4
86757,Everton,284,5
86759,Luan,284,5
86760,Lucas Macanhan,293,1
86761,Gerson,293,3
86762,Tárik,293,3
86763,Jonathan Fernando,293,2
86764,Sidcley,293,2
86765,Bruno Mota,293,4
86767,Dominic,293,5
86792,Mauri,287,4
86820,Reginaldo ,294,2
86836,Sidney,263,4
86837,Diego Cardoso,277,5
86841,Boschilia,276,4
86842,Ewandro,276,5
86859,José Welison,287,4
86860,Guilherme,287,2
86861,Vinicius,287,3
86927,Nadson,265,5
86928,David,288,1
86929,Ronaldo,288,1
86931,Ruan,288,4
86932,Gustavo,288,5
86934,Túlio,290,4
86935,Rodrigo,290,4
86936,Ray,290,4
86942,Abuda,290,4
86943,Liniker,290,4
86969,Rhuan,294,2
87008,Léo,284,1
87009,Nathan,293,4
87101,Stéfano Yuri,277,5
87185,Mario Risso,263,3
87191,Jorge Eduardo,277,5
87192,Zeca,277,2
87199,Gustavo ,315,1
87200,Bruno ,315,3
87201,Igor ,315,3
87202,Lucas ,315,4
87211,Eduardo Baptista,292,6
87213,Pará,265,2
87225,Pedro Henrique,264,3
87226,Fabiano,264,4
87227,Zé Paulo,293,4
87228,Guilherme Arana,264,2
87229,Donato,282,3
87230,Robson,265,3
87273,Carlinhos,285,4
87393,Gabriel,282,3
87399,Mário Sérgio,293,2
87400,Alex,283,3
87401,Eurico,283,4
87420,Cristaldo,275,5
87585,Mailson,315,5
87611,Tiago,284,1
87741,Joelinton,292,5
87742,Neto,292,4
87743,Léo,292,4
87746,Luizinho Vieira,288,6
87747,Yago,316,4
87935,Cristiano,288,5
87999,Gustavo Scarpa,266,4
88000,Gabriel Ramos,265,4
88002,Serginho,277,4
88054,Diogo Sodré,294,4
88056,Malcom,264,5
88064,Marcos Vinícius,282,5
88065,Jorge,262,2
88069,Leonardo Cabeça,315,5
88075,Jeam,265,5
88132,Nailson,277,3
88146,Maranhão,294,4
88147,Paulo Henrique,290,1
88156,Jean,316,1
88166,Felipe Caldeira,316,4
88224,Paulo Ricardo,277,3
88225,Daniel Guedes ,277,2
88323,Ángel Romero,264,5
88366,Martín Luque,285,4
88367,Chico,275,5
88368,Gabriel Dias,275,3
88478,Darlan,287,4
88479,Walace,284,4
88480,Ronan,284,5
88538,Wilson Vaterkemper,288,6
88540,Auro,276,2
88617,Carlos Amadeu,287,6
88651,Vinícius,263,5
88670,Hyago,292,3
88671,Guilherme,292,4
88686,Leandro Ávila,293,6
88717,Celso Rodrigues,315,6
88780,Leandro,285,5
88782,Andrew,288,5
88848,Júnior Oliveira,316,1
88849,João Gabriel ,263,4
88850,Marco Damasceno ,293,5
88866,Eduardo Junior,275,4
88867,Guido,265,1
88874,Léo Cunha,275,2
88898,André Jardine,284,6
88899,Charles Fabian,265,6
88915,Douglas ,294,5
88916,Luan Polli ,316,1
88917,Murilo Henrique,290,4
88933,Bruno Paulista,265,4
88987,Bruno Correa,263,5
89100,Éder Bastos,287,6
89154,Gabriel Fernando,275,5
89156,Nathan,275,3
89157,Guilherme,275,2
89190,Judivan ,283,5
89224,Barreto,288,4
89226,Iago,288,3
89227,Balbino,284,4
89253,Andreazzi,263,4
89256,Gerson,266,4
89257,Breno,266,2
89258,Daniel,262,1
89273,João Pedro ,275,2
89275,William,285,4
89285,Matheus Sales,275,4
89306,Paulinho,282,4
89341,Nicolas Careca,284,5
89342,Caju,277,2
89343,Júnior,284,2
89371,Rômulo,265,4
89444,Hugo Ragelli,283,5
89445,Yuri,315,5
89466,Horácio,292,4
89467,Erick Samuel,284,4
89468,Erik,284,5
89479,Gustavo Tocantins,264,5
89492,Saulo,263,1
89493,Igor Rabello,263,3
89494,Leandro Vicentin,292,3
89606,Felipe Saturnino,290,2
89637,Thiago Maia,277,4
89676,Nickson,287,4
89677,Fernandinho,275,4
89681,Mateus Muller,275,2
89694,James Dean,292,5
89815,Gustavo Ferrareis,285,4
89883,Dodi,288,4
89884,Kalil,288,5
89885,Leandro,263,4
89896,Cleiton,288,2
89897,Ronaldo,288,1
89898,Roger,288,5
89914,Gabriel ,288,4
89921,Maikon,263,5
89924,Bruno,283,4
89932,JacÃ³,265,5
89975,Rodolfo,282,1
89977,Bruno Santos,316,2
